ISO,Country,Origination Prefixes,Destination Prefixes,Description,Price / min
AM,Armenia,,37494,Trunking Outbound Minute - Armenia - Mobile,0.34100
AM,Armenia,,37495,Trunking Outbound Minute - Armenia - Mobile,0.34100
AM,Armenia,,37496,Trunking Outbound Minute - Armenia - Mobile,0.34100
AM,Armenia,,37497,Trunking Outbound Minute - Armenia - Mobile,0.34100
AM,Armenia,,37498,Trunking Outbound Minute - Armenia - Mobile,0.34100
AM,Armenia,,37499,Trunking Outbound Minute - Armenia - Mobile,0.34100
AN,Netherlands Antilles,,599,Trunking Outbound Minute - Netherlands Antilles,1.15500
AN,Netherlands Antilles,,5993181,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993184,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993185,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993186,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993187,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993191,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993194,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993195,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993197,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5993198,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5994161,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5994164,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5994165,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5994166,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5994167,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5994168,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5995,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,59970,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599770,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599777,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,59978,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,59979,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,59994,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,599950,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,599951,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599952,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599953,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599954,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599955,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599956,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599961,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5999630,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5999631,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599965,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599966,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599967,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599968,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599969,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,5999720,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999721,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999722,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999724,Trunking Outbound Minute - Netherlands Antilles - Mobile,0.19730
AN,Netherlands Antilles,,599973,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,599974,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999763,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999765,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999766,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999767,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,5999777,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AN,Netherlands Antilles,,59998,Trunking Outbound Minute - Netherlands Antilles - Curacao,0.15300
AO,Angola,,244,Trunking Outbound Minute - Angola,0.80900
AO,Angola,,24491,Trunking Outbound Minute - Angola - Mobile,0.52330
AO,Angola,,24492,Trunking Outbound Minute - Angola - Mobile,0.52330
AO,Angola,,24493,Trunking Outbound Minute - Angola - Mobile,0.52330
AO,Angola,,24494,Trunking Outbound Minute - Angola - Mobile,0.52330
AO,Angola,,24499,Trunking Outbound Minute - Angola - Mobile,0.52330
AR,Argentina,,54,Trunking Outbound Minute - Argentina,0.04970
AR,Argentina,,5411,Trunking Outbound Minute - Argentina - Buenos Aires,0.03910
AR,Argentina,,54221,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,54223,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,54261,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,54291,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,54341,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,54342,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,54351,Trunking Outbound Minute - Argentina - Major Cities,0.03940
AR,Argentina,,549,Trunking Outbound Minute - Argentina - Mobile,0.34880
AS,American Samoa,,1684,Trunking Outbound Minute - American Samoa,0.40500
AT,Austria,,43,Trunking Outbound Minute - Austria,0.16650
AT,Austria,,431,Trunking Outbound Minute - Austria,0.16650
AT,Austria,,4312288,Trunking Outbound Minute - Austria,0.16650
AT,Austria,,43123009,Trunking Outbound Minute - Austria,0.16650
AT,Austria,,43501,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43502,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43503,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43504,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43505,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43506,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43507,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43508,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43509,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43517,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,4357,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,4359,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43644,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43650,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43651,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43652,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43653,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43655,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436550,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436551,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436552,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43657,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43659,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43660,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43661,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43663,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4366303,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4366305,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4366306,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4366363,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43664,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436646570601,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436648668402,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436648668423,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436648740174,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436649469663,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,43665,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4366565,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4366566,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43666,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43667,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43668,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436688,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43669,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4367,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436708012000,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012023,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012024,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012028,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,43670801203,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012040,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012041,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012042,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,4367080125,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,43670801260,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708012646,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,4367080127,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708097120,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708097122,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708097123,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,436708097125,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,43670809747,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,43670809911,Trunking Outbound Minute - Austria - Mobile - Mobility Services,0.27600
AT,Austria,,43676,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43677,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43678,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4367833,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4367890,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4367891,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43680,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43681,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368183,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368190,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43688,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368860,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368861,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368864,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4368877,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,436889,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4369,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43690,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4369010,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43699,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4369981,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4369982,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4369988,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,4369989,Trunking Outbound Minute - Austria - Mobile,0.26000
AT,Austria,,43710,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43711,Trunking Outbound Minute - Austria - Premium Numbers,0.31480
AT,Austria,,43720,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43730,Trunking Outbound Minute - Austria - Premium Numbers,0.31480
AT,Austria,,43740,Trunking Outbound Minute - Austria - Premium Numbers,0.31480
AT,Austria,,43780,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43810,Trunking Outbound Minute - Austria - Premium Numbers,0.31480
AT,Austria,,43820,Trunking Outbound Minute - Austria - Premium Numbers,0.31480
AT,Austria,,43821,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,43828,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,,439,Trunking Outbound Minute - Austria - Other,0.16100
AT,Austria,1,43,Trunking Outbound Minute - Austria - from US/CA,0.01360
AT,Austria,1,431,Trunking Outbound Minute - Austria - from US/CA,0.01360
AT,Austria,1,4312288,Trunking Outbound Minute - Austria - from US/CA,0.01360
AT,Austria,1,43123009,Trunking Outbound Minute - Austria - from US/CA,0.01360
AT,Austria,1,43644,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43650,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43651,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43652,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43653,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43655,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436550,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436551,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436552,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43657,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43659,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43660,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43661,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43663,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4366303,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4366305,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4366306,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4366363,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43664,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436646570601,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436648668402,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436648668423,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436648740174,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436649469663,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,43665,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4366565,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4366566,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43666,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43667,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43668,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436688,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43669,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4367,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436708012000,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012023,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012024,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012028,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,43670801203,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012040,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012041,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012042,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,4367080125,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,43670801260,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708012646,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,4367080127,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708097120,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708097122,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708097123,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,436708097125,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,43670809747,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,43670809911,Trunking Outbound Minute - Austria - Mobile - Mobility Services - from US/CA,0.01200
AT,Austria,1,43676,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43677,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43678,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4367833,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4367890,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4367891,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43680,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43681,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368183,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368190,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,43688,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368860,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368861,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368864,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,4368877,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
AT,Austria,1,436889,Trunking Outbound Minute - Austria - Mobile - from US/CA,0.04550
